"","coral_id","f0","fm","fv_fm","genus","date","time","treatment"
"189",42,954,2776,656,"por","20230619","18:38","2"
"190",58,1048,2843,631,"por","20230619","18:38","2"
"191",58,1095,2982,632,"por","20230619","18:38","2"
"192",58,1053,2984,647,"por","20230619","18:38","2"
"193",47,849,2360,640,"por","20230619","18:38","1"
"194",47,767,1781,569,"por","20230619","18:38","1"
"195",47,711,2132,666,"por","20230619","18:38","1"
"196",44,1048,2598,596,"por","20230619","18:38","0"
"197",44,766,2053,626,"por","20230619","18:38","0"
"198",44,838,2152,616,"por","20230619","18:38","0"
"199",43,620,1847,664,"por","20230619","18:38","1"
"200",43,671,1789,624,"por","20230619","18:38","1"
"201",43,623,1726,639,"por","20230619","18:38","1"
"202",46,941,2660,646,"por","20230619","18:38","2"
"203",46,954,2625,636,"por","20230619","18:38","2"
"204",46,903,2610,654,"por","20230619","18:38","2"
"205",48,690,2816,754,"por","20230619","18:38","0"
"206",48,1170,3166,630,"por","20230619","18:38","0"
"207",48,961,2566,625,"por","20230619","18:38","0"
"208",51,945,2769,658,"por","20230619","18:38","1"
"209",51,927,2754,663,"por","20230619","18:38","1"
"210",51,889,2526,648,"por","20230619","18:38","1"
"211",52,603,1919,685,"por","20230619","18:38","2"
"212",52,652,1890,655,"por","20230619","18:38","2"
"213",52,458,1268,638,"por","20230619","18:38","2"
"214",54,643,2252,714,"por","20230619","18:38","0"
"215",54,730,2110,654,"por","20230619","18:38","0"
"216",54,735,2136,655,"por","20230619","18:38","0"
