species,genus,coral_id,treatment,timepoint,timepoint_label,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr,gross_photo_rate,p_to_r_ratio,treatment_label,days_post_wound
Porites spp.,Porites,53,0,Day 1,Day 1,0.9983785221482162,0.9795679998289156,12.3368869207366,-0.4717236930682843,-0.21253204766571207,-0.6842557407339964,0.4505435083900842,Control,1
Porites spp.,Porites,54,0,Day 1,Day 1,0.9984140362439254,0.9915188456099714,25.3316726700983,-0.166853601723922,-0.17229853935594927,-0.33915214107987124,1.032633024254619,Control,1
Porites spp.,Porites,55,1,Day 1,Day 1,0.9947854848997044,0.9098045269659828,19.9227204556181,-0.4169239334887622,-0.02493371394413512,-0.44185764743289735,0.05980398806922218,Small Wound,1
Porites spp.,Porites,56,0,Day 1,Day 1,0.9953732180544334,0.9692740215172696,14.6225880063761,-0.6183969911559942,-0.061599857065832,-0.6799968482218263,0.09961215521227056,Control,1
Porites spp.,Porites,57,1,Day 1,Day 1,0.9982247581459648,0.989264287713958,11.5479688155277,-0.6454100621580379,-0.12545565207801954,-0.7708657142360574,0.19438130799903755,Small Wound,1
Porites spp.,Porites,58,2,Day 1,Day 1,0.9992556995666249,0.992838543007673,15.7538826599423,-0.30088522495116016,-0.28559692468443204,-0.5864821496355922,0.9491889298678268,Large Wound,1
Porites spp.,Porites,41,2,Day 7,Day 7,0.9940948432323902,0.9878020817440972,18.3888614264487,-0.20147684350721945,-0.08262506447694701,-0.28410190798416646,0.4100970763619609,Large Wound,7
Porites spp.,Porites,42,2,Day 7,Day 7,0.9919491128776504,0.9666105580205048,11.630975027926,-0.3080869800108122,0.0737740092719547,-0.23431297073885748,0.23945838045270731,Large Wound,7
Porites spp.,Porites,43,1,Day 7,Day 7,0.9301025478915492,0.9632445190277332,10.5448617460974,-5.363438975149135,5.038331323160129,-0.32510765198900593,0.9393844782246328,Small Wound,7
Porites spp.,Porites,44,0,Day 7,Day 7,0.9831406223354549,0.7373317897403537,16.9129438487595,-0.414489968334556,NA,NA,NA,Control,7
Porites spp.,Porites,45,2,Day 7,Day 7,0.9945154348935068,0.9299761469774878,15.2729668286849,-0.36797099419117607,-0.05530126301748548,-0.4232722572086616,0.15028701688577714,Large Wound,7
Porites spp.,Porites,46,2,Day 7,Day 7,0.9977840503778216,0.9978447342567096,13.7032359412658,-0.5019800339520628,-0.26443657551151034,-0.7664166094635732,0.5267870385792337,Large Wound,7
Porites spp.,Porites,47,1,Day 7,Day 7,0.9844237248554316,0.9785825546600646,11.6417821252577,-0.2571605602464772,0.10461973469741676,-0.15254082554906043,0.40682651568787725,Small Wound,7
Porites spp.,Porites,48,0,Day 7,Day 7,0.9853177817967148,0.982340704454156,30.2739667169072,-0.14039145891366542,0.04158036370989811,-0.09881109520376732,0.29617445414160276,Control,7
Porites spp.,Porites,49,0,Day 7,Day 7,0.9819279496416512,0.3822697272455755,10.2260523748143,-0.3853328221008764,NA,NA,NA,Control,7
Porites spp.,Porites,50,1,Day 7,Day 7,0.9706221717902672,0.986101101717673,16.31855349552,-0.2940176341586583,0.11630727652992988,-0.1777103576287284,0.3955792544986194,Small Wound,7
Porites spp.,Porites,51,1,Day 7,Day 7,0.9900871272435672,0.9344294547785666,17.6269610645688,-0.37091494578873446,-0.03819935685255894,-0.4091143026412934,0.10298683643316038,Small Wound,7
Porites spp.,Porites,52,2,Day 7,Day 7,0.9903380059354882,0.9751314175089246,13.533024158292699,-0.44090869411040023,-0.11939961161285652,-0.5603083057232567,0.27080348654444936,Large Wound,7
Porites spp.,Porites,53,0,Day 7,Day 7,0.9867836792019328,0.5440954591008845,12.3368869207366,-0.512332682647266,NA,NA,NA,Control,7
Porites spp.,Porites,54,0,Day 7,Day 7,0.9333964458893398,0.17194761437872952,25.3316726700983,-1.8635499156372688,NA,NA,NA,Control,7
Porites spp.,Porites,55,1,Day 7,Day 7,0.957680280387113,0.9966022701231584,19.9227204556181,-0.21265415824791745,0.17120053405307106,-0.04145362419484638,0.8050655367551349,Small Wound,7
Porites spp.,Porites,56,0,Day 7,Day 7,0.9875013188577438,0.9640357227618036,14.6225880063761,-0.48156399107652,0.09102248347598944,-0.3905415076005305,0.1890143058091029,Control,7
Porites spp.,Porites,57,1,Day 7,Day 7,0.9825687490671554,0.9912258336974672,11.5479688155277,-0.21354399820856007,0.1350667655118803,-0.07847723269667978,0.632500874035176,Small Wound,7
Porites spp.,Porites,58,2,Day 7,Day 7,0.9737855106779926,0.9688253197109786,15.7538826599423,-0.29927269030789,0.06796226296913531,-0.23131042733875468,0.227091429222012,Large Wound,7
Porites spp.,Porites,41,2,Day 23,Day 23,0.9983648261951064,0.9947366483262274,18.3888614264487,-0.2659766084811223,-0.13570039827981012,-0.4016770067609324,0.510196738934061,Large Wound,23
Porites spp.,Porites,42,2,Day 23,Day 23,0.998522550325049,0.9322204631423756,11.630975027926,-0.6740535371637248,-0.07685657568408406,-0.750910112847809,0.11402147076845012,Large Wound,23
Porites spp.,Porites,43,1,Day 23,Day 23,0.979915735336502,0.12681960899204103,10.5448617460974,-0.26258020895707523,NA,NA,NA,Small Wound,23
Porites spp.,Porites,44,0,Day 23,Day 23,0.9418481264877806,0.7501302210429271,16.9129438487595,-0.3688151066462331,NA,NA,NA,Control,23
Porites spp.,Porites,45,2,Day 23,Day 23,0.9990577684492572,0.6154361819642608,15.2729668286849,-0.47691119493467343,NA,NA,NA,Large Wound,23
Porites spp.,Porites,46,2,Day 23,Day 23,0.9937077608018816,0.5983390054956476,13.7032359412658,-0.6408162862882274,NA,NA,NA,Large Wound,23
Porites spp.,Porites,47,1,Day 23,Day 23,0.9811425911279504,0.8172018862330441,11.6417821252577,-0.2329925476585228,NA,NA,NA,Small Wound,23
Porites spp.,Porites,48,0,Day 23,Day 23,0.9928562547527114,0.2280959783292328,30.2739667169072,-0.3048331635563453,NA,NA,NA,Control,23
