species,genus,coral_id,treatment,treatment_label,timepoint,days_post_wound,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr
Acropora pulchra,acr,46,2,Large Wound,Day 7,7,0.9557755280043606,0.0605452318455553,16.085164888712,0.1872147883178365,0.00254475983603777
Acropora pulchra,acr,47,1,Small Wound,Day 7,7,0.9211997964876766,0.9888748619865556,14.3407110727039,0.11262025960017412,0.09093837835705108
Acropora pulchra,acr,48,0,Control,Day 7,7,0.9967231108088226,0.7459785285844522,30.2739667169072,0.230945875639748,0.01632880996979829
Acropora pulchra,acr,49,1,Small Wound,Day 7,7,0.9968809845518348,0.955396846723063,12.9249813222605,0.23206568819714005,-0.05313328057634164
Acropora pulchra,acr,50,2,Large Wound,Day 7,7,0.9366356720821908,0.9781514691477528,18.7004824429662,0.2284807913652083,0.08052018974222458
Acropora pulchra,acr,53,0,Control,Day 7,7,0.968685288158278,0.9351700430838132,12.3368869207366,0.1836989777968163,0.03947764465750062
Acropora pulchra,acr,54,1,Small Wound,Day 7,7,0.9982099669701636,0.9520925068718448,28.030601617544495,0.2368598991193692,-0.0431832582056887
Acropora pulchra,acr,55,2,Large Wound,Day 7,7,0.9985252383907378,0.9914213565756091,22.3046494030643,0.23972062381998469,-0.08990396092386774
Acropora pulchra,acr,56,0,Control,Day 7,7,0.9614573721058388,0.2384906641326824,14.6225880063761,3.9763593963074633,0.4218960805494657
Acropora pulchra,acr,57,0,Control,Day 7,7,0.927016926530257,0.9868884036165144,11.5479688155277,0.1698920339115302,0.11858460513348262
Acropora pulchra,acr,58,1,Small Wound,Day 7,7,0.9980769955279968,0.989532032201528,18.4528116073885,0.2094427116023178,-0.09048281432586278
Acropora pulchra,acr,41,0,Control,Day 23,23,0.8978367808589622,0.6554809666381922,18.3888614264487,0.19412437674440333,0.06582112145054683
Acropora pulchra,acr,43,1,Small Wound,Day 23,23,0.9414896100791826,0.8985256699691136,13.2437906935436,0.2045045272500741,0.0281808042311003
Acropora pulchra,acr,45,2,Large Wound,Day 23,23,0.8725250848819707,0.9944922712087636,17.6548957761311,0.18914140521377165,0.12818159892031403
Acropora pulchra,acr,46,2,Large Wound,Day 23,23,0.9010681311386294,0.9695077492465236,16.085164888712,0.19705988647988584,0.06233282090458234
Acropora pulchra,acr,47,1,Small Wound,Day 23,23,0.8635387904328151,0.9941463480991836,14.3407110727039,0.18228178730344868,0.15060412543911308
Acropora pulchra,acr,49,1,Small Wound,Day 23,23,0.9241209446785974,0.03590804611382603,12.9249813222605,0.25721674504558284,-0.00981029835760269
Acropora pulchra,acr,50,2,Large Wound,Day 23,23,0.9535303501227576,0.9435037556163852,18.7004824429662,0.2714061201928565,-0.04013250774010256
Acropora pulchra,acr,51,0,Control,Day 23,23,0.910605949119218,0.9857280675545572,17.6269610645688,0.22103938596304057,0.07383658139182189
Acropora pulchra,acr,52,2,Large Wound,Day 23,23,0.8536335404404246,0.9952461360985992,15.9149531057389,0.2279013932256553,0.17846535642399458
Acropora pulchra,acr,53,0,Control,Day 23,23,0.9617276884848328,0.9616836240523744,12.3368869207366,0.2884320664084538,-0.06220065039070747
Acropora pulchra,acr,57,0,Control,Day 23,23,0.8850504418066548,0.9926492039670778,11.5479688155277,0.21484327090740216,0.13153027534540246
