"channel","delta_t","value","temp","coral_id"
"4","14.303",46.541,28.64,"57"
"4","14.353",46.581,28.627,"57"
"4","14.403",46.572,28.627,"57"
"4","14.453",46.6,28.621,"57"
"4","14.502",46.569,28.634,"57"
"4","14.552",46.568,28.627,"57"
"4","14.603",46.581,28.627,"57"
"4","14.653",46.596,28.621,"57"
"4","14.703",46.573,28.634,"57"
"4","14.753",46.6,28.621,"57"
"4","14.803",46.6,28.621,"57"
"4","14.852",46.593,28.627,"57"
"4","14.903",46.585,28.627,"57"
"4","14.953",46.604,28.621,"57"
"4","15.003",46.592,28.621,"57"
"4","15.053",46.624,28.615,"57"
"4","15.103",46.604,28.621,"57"
"4","15.152",46.628,28.615,"57"
"4","15.203",46.608,28.621,"57"
"4","15.253",46.604,28.621,"57"
"4","15.303",46.644,28.609,"57"
"4","15.353",46.62,28.615,"57"
"4","15.403",46.624,28.615,"57"
"4","15.453",46.592,28.621,"57"
"4","15.503",46.624,28.615,"57"
"4","15.552",46.616,28.615,"57"
"4","15.603",46.616,28.615,"57"
"4","15.653",46.616,28.615,"57"
"4","15.703",46.596,28.621,"57"
"4","15.753",46.628,28.615,"57"
"4","15.802",46.675,28.597,"57"
"4","15.853",46.656,28.603,"57"
"4","15.903",46.636,28.609,"57"
"4","15.953",46.648,28.609,"57"
"4","16.003",46.652,28.609,"57"
"4","16.053",46.668,28.603,"57"
"4","16.103",46.648,28.609,"57"
"4","16.153",46.668,28.603,"57"
"4","16.203",46.672,28.603,"57"
"4","16.252",46.66,28.603,"57"
"4","16.303",46.683,28.597,"57"
"4","16.353",46.644,28.609,"57"
"4","16.403",46.648,28.609,"57"
"4","16.453",46.66,28.603,"57"
"4","16.503",46.66,28.603,"57"
"4","16.553",46.652,28.609,"57"
"4","16.603",46.668,28.603,"57"
"4","16.653",46.687,28.597,"57"
"4","16.703",46.66,28.603,"57"
"4","16.752",46.668,28.603,"57"
"4","16.803",46.696,28.597,"57"
"4","16.853",46.711,28.591,"57"
"4","16.903",46.679,28.597,"57"
"4","16.953",46.668,28.603,"57"
"4","17.003",46.692,28.597,"57"
"4","17.053",46.683,28.597,"57"
"4","17.103",46.703,28.591,"57"
"4","17.152",46.696,28.597,"57"
"4","17.203",46.731,28.585,"57"
"4","17.253",46.711,28.591,"57"
"4","17.303",46.723,28.591,"57"
"4","17.353",46.707,28.591,"57"
"4","17.403",46.723,28.585,"57"
"4","17.452",46.703,28.591,"57"
"4","17.503",46.719,28.591,"57"
"4","17.553",46.711,28.591,"57"
"4","17.603",46.679,28.597,"57"
"4","17.652",46.723,28.585,"57"
"4","17.703",46.711,28.591,"57"
"4","17.753",46.735,28.585,"57"
"4","17.803",46.723,28.591,"57"
"4","17.852",46.715,28.591,"57"
"4","17.903",46.731,28.585,"57"
"4","17.953",46.739,28.585,"57"
"4","18.003",46.715,28.591,"57"
"4","18.052",46.731,28.585,"57"
"4","18.103",46.731,28.585,"57"
"4","18.153",46.727,28.585,"57"
"4","18.203",46.735,28.585,"57"
"4","18.253",46.731,28.585,"57"
"4","18.302",46.715,28.591,"57"
"4","18.353",46.731,28.585,"57"
"4","18.403",46.739,28.585,"57"
"4","18.453",46.739,28.585,"57"
"4","18.503",46.735,28.585,"57"
"4","18.553",46.731,28.585,"57"
"4","18.603",46.735,28.585,"57"
"4","18.653",46.759,28.578,"57"
"4","18.703",46.711,28.591,"57"
"4","18.752",46.759,28.578,"57"
"4","18.803",46.755,28.578,"57"
"4","18.853",46.759,28.578,"57"
"4","18.902",46.755,28.578,"57"
"4","18.953",46.755,28.578,"57"
"4","19.003",46.747,28.585,"57"
"4","19.053",46.767,28.578,"57"
"4","19.103",46.783,28.572,"57"
"4","19.153",46.759,28.578,"57"
"4","19.203",46.747,28.585,"57"
"4","19.252",46.751,28.585,"57"
"4","19.303",46.771,28.572,"57"
"4","19.353",46.767,28.572,"57"
"4","19.403",46.763,28.578,"57"
"4","19.453",46.767,28.578,"57"
"4","19.503",46.787,28.572,"57"
"4","19.553",46.795,28.572,"57"
"4","19.602",46.791,28.572,"57"
"4","19.653",46.787,28.572,"57"
"4","19.703",46.791,28.572,"57"
"4","19.753",46.795,28.566,"57"
"4","19.803",46.791,28.572,"57"
"4","19.853",46.783,28.572,"57"
"4","19.902",46.811,28.566,"57"
"4","19.953",46.803,28.566,"57"
"4","20.003",46.815,28.566,"57"
"4","20.053",46.771,28.572,"57"
"4","20.103",46.771,28.578,"57"
"4","20.152",46.795,28.572,"57"
"4","20.203",46.795,28.572,"57"
